cat	year	split			URL	Final AGENT	Final EVENTS	Final WORLD	Final Composite	3rd person	Adjudicated AGENTS	Adjudicated EVENTS	Adjudicated WORLD	MEAN	STDEV	Agents mean	Events mean	World mean	Agents std	Events std	World std	A1 average	A1 agents	A1 events	A1 world	A2 average	A2 agents	A2 events	A2 world	A3 average	A3 agents	A3 events	A3 world
Grammy_NOM	1990	train	Linda Ronstadt	Don't Know Much	https://www.azlyrics.com/lyrics/lindaronstadt/dontknowmuch.html	2.33	1	1	1.443					1.44	0.42	2.33	1	1	1.25	0	0	1.33	2	1	1	2	4	1	1	1	1	1	1
Billboard	1980	train	Linda Ronstadt	Hurt So Bad	https://www.azlyrics.com/lyrics/lindaronstadt/hurtsobad.html	2.33	2	1.33	1.887					1.89	0.57	2.33	2	1.33	0.47	0.82	0.47	1.33	2	1	1	1.67	2	2	1	2.67	3	3	2
Billboard	2004	train	Linkin Park	Breaking the Habit	https://www.azlyrics.com/lyrics/linkinpark/breakingthehabit.html	2.24	2.68	2.12	2.347					3.44	0.31	4.33	2.67	3.33	1.41	0.71	0.71	3.67	5	3	3	3	3	3	3	3.67	5	2	4
Grammy_NOM	1984	test	Lionel Richie	All Night Long (All Night)	https://www.azlyrics.com/lyrics/lionelrichie/allnightlong.html	1.67	1.67	3.33	2.223					2.22	0.83	1.67	1.67	3.33	0.94	0.94	0.94	2	1	1	4	3.33	3	3	4	1.33	1	1	2
Grammy_NOM	1985	test	Lionel Richie	Hello	https://www.azlyrics.com/lyrics/lionelrichie/hello.html	4	1	1	2.000		4	1	1	2.56	1.37	3.67	2	2	1.89	1.41	1.41	1	1	1	1	2.33	5	1	1	4.33	5	4	4
Grammy_ALT	1985	train	Lionel Richie	Love Will Find a Way	https://www.azlyrics.com/lyrics/lionelrichie/lovewillfindaway.html	3	1.67	1.33	2.000					2	0.47	3	1.67	1.33	1.41	0.94	0.47	1.33	2	1	1	2.33	5	1	1	2.33	2	3	2
Grammy_ALT	1984	test	Lionel Richie	Penny Lover	https://www.azlyrics.com/lyrics/lionelrichie/pennylover.html	5	2	1	2.667		5	2	1	3.22	1.26	4	3.33	2.33	1.41	1.7	1.89	2.33	2	4	1	2.33	5	1	1	5	5	5	5
Billboard	1987	dev	Lisa Lisa and Cult Jam	Lost in Emotion	https://www.azlyrics.com/lyrics/lisalisacultjam/lostinemotion.html	3	3	1	2.333		3	3	1	2.89	1.03	4	2.67	2	0.82	0.94	1.41	2.33	4	2	1	2	3	2	1	4.33	5	4	4
Billboard	1998	train	Lisa Loeb	I Do	https://www.azlyrics.com/lyrics/lisaloeb/ido.html	4	3.33	2	3.110					3.11	0.57	4	3.33	2	0.82	0.47	0.82	2.33	3	3	1	3.33	4	3	3	3.67	5	4	2
Billboard	1989	test	Lita Ford and Ozzy Osbourne	Close My Eyes Forever	https://www.azlyrics.com/lyrics/litaford/closemyeyesforever.html	3	2	1	2.000		3	2	1	2.67	1.09	3.67	2	2.33	1.25	0.82	1.25	1.33	2	1	1	2.67	4	2	2	4	5	3	4
Grammy_NOM	2016	test	Little Big Town	Girl Crush	https://www.azlyrics.com/lyrics/littlebigtown/girlcrush.html	4	1	1	2.000		4	1	1	3	1.44	4	2.33	2.67	1.41	1.89	1.7	1.67	2	1	2	2.33	5	1	1	5	5	5	5
Grammy_ALT	2016	train	Little Big Town	Pain Killer	https://www.azlyrics.com/lyrics/littlebigtown/painkiller.html	3	1.33	1.67	2.000					2	0.47	3	1.33	1.67	1.63	0.47	0.47	1.33	1	1	2	2.33	5	1	1	2.33	3	2	2
Billboard	1963	test	Little Stevie Wonder	Fingertips	https://www.azlyrics.com/lyrics/steviewonder/fingertipspart2.html	1	1	1.333	1.111					1.111	0.157	1	1	1.333	0	0	0.471	1.33	1	1	2	1	1	1	1	1	1	1	1
Grammy_ALT	2023	test	Lizzo	2 Be Loved	https://www.azlyrics.com/lyrics/lizzo/coldplay.html	4.33	3.67	4.33	4.110					4.11	0.83	4.33	3.67	4.33	0.47	1.89	0.47	3	4	1	4	5	5	5	5	4.33	4	5	4
Grammy_NOM	2023	test	Lizzo	About Damn Time	https://www.azlyrics.com/lyrics/lizzo/aboutdamntime.html	4.33	3.67	2.67	3.557					3.56	0.57	4.33	3.67	2.67	0.47	1.25	0.94	3	5	2	2	3.33	4	4	2	4.33	4	5	4
Grammy_ALT	2020	test	Lizzo	Crybaby	https://www.azlyrics.com/lyrics/lizzo/crybaby.html	4.33	3.67	1.67	3.223					3.22	0.63	4.33	3.67	1.67	0.94	0.47	0.47	3.67	5	4	2	3.67	5	4	2	2.33	3	3	1
Grammy_NOM	2020	dev	Lizzo	Truth Hurts	https://www.azlyrics.com/lyrics/lizzo/truthhurts.html	5	4	5	4.667		5	4	5	3.56	1.1	3.67	3.33	3.67	1.25	1.7	1.25	5	5	5	5	3.33	4	4	2	2.33	2	1	4
Billboard	2004	train	Lloyd featuring Ashanti	Southside	https://www.azlyrics.com/lyrics/lloyd/southside.html	5	4	5	4.667					4.67	0.47	5	4	5	0	1.41	0	4	5	2	5	5	5	5	5	5	5	5	5
Billboard	2012	train	LMFAO	Sexy and I Know It	https://www.azlyrics.com/lyrics/lmfao/sexyandiknowit.html	2.67	2	3.67	2.780					2.78	0.42	2.67	2	3.67	0.47	0.82	1.25	2.67	3	1	4	2.33	3	2	2	3.33	2	3	5
Grammy_NOM	2018	test	Logic	1-800-273-8255	https://www.azlyrics.com/lyrics/logic/18002738255.html	4.67	3	2.67	3.447					3.44	0.96	4.67	3	2.67	0.47	1.63	1.25	4.67	5	5	4	2.33	5	1	1	3.33	4	3	3
Grammy_ALT	2018	dev	Logic	Waiting Room	https://www.azlyrics.com/lyrics/logic/waitingroom.html	4	4.33	4.67	4.333					4.33	0	4	4.33	4.67	0.82	0.94	0.47	4.33	3	5	5	4.33	5	3	5	4.33	4	5	4
Billboard	1991	train	Londonbeat	I've Been Thinking About You	https://www.azlyrics.com/lyrics/londonbeat/ivebeenthinkingaboutyou.html	2.67	2	1	1.890					1.89	0.79	2.67	2	1	0.94	1.41	0	1.33	2	1	1	1.33	2	1	1	3	4	4	1
Grammy_NOM	2014	train	Lorde	Royals	https://www.azlyrics.com/lyrics/lorde/royals.html	4	3	4.33	3.777					3.78	0.42	4	3	4.33	0	0.82	0.94	3.67	4	2	5	3.33	4	3	3	4.33	4	4	5
Billboard	2014	dev	Lorde	Team	https://www.azlyrics.com/lyrics/lorde/team.html	3.33	2.67	5	3.667					3.67	0.54	3.33	2.67	5	0.94	0.94	0	3.67	4	2	5	4.33	4	4	5	3	2	2	5
Grammy_ALT	2014	dev	Lorde	Tennis Court	https://www.azlyrics.com/lyrics/lorde/tenniscourt.html	4	2.33	3.67	3.333					3.33	0.54	4	2.33	3.67	0.82	0.47	0.94	4	5	2	5	3.33	4	3	3	2.67	3	2	3
Billboard	1966	train	Lou Rawls	Love Is a Hurtin' Thing	https://www.azlyrics.com/lyrics/lourawls/loveisahurtinthing.html	2.667	2	1.333	2.000					2	0.272	2.667	2	1.333	0.471	0.816	0.471	2	3	2	1	1.67	3	1	1	2.33	2	3	2
Billboard	1976	test	Lou Rawls	You'll Never Find Another Love Like Mine	https://www.azlyrics.com/lyrics/lourawls/youllneverfindanotherlovelikemine.html	2.67	2.33	1.67	2.223					2.22	0.68	2.67	2.33	1.67	0.94	1.25	0.94	1.33	2	1	1	3	4	4	1	2.33	2	2	3
Billboard	2010	test	Ludacris	How Low	https://www.azlyrics.com/lyrics/ludacris/howlow.html	2.67	1.33	3.33	2.443					2.44	0.31	2.67	1.33	3.33	0.94	0.47	1.25	2	2	1	3	2.67	4	2	2	2.67	2	1	5
Grammy_NOM	2017	train	Lukas Graham	7 Years	https://www.azlyrics.com/lyrics/lukasgraham/7years.html	5	5	4	4.667					4.67	0.27	5	5	4	0	0	0.82	4.67	5	5	4	4.33	5	5	3	5	5	5	5
Grammy_ALT	2017	train	Lukas Graham	What Happened to Perfect	https://www.azlyrics.com/lyrics/lukasgraham/whathappenedtoperfect.html	4.67	4.67	3.67	4.337					4.33	0.94	4.67	4.67	3.67	0.47	0.47	1.89	3	4	4	1	5	5	5	5	5	5	5	5
Billboard	2013	train	Luke Bryan	Crash My Party	https://www.azlyrics.com/lyrics/lukebryan/crashmyparty.html	4	2	3	3.000		4	2	3	3.22	1.34	4	3	2.67	1.41	1.41	1.25	1.33	2	1	1	4	5	4	3	4.33	5	4	4
Billboard	2017	dev	Luke Combs	Hurricane	https://www.azlyrics.com/lyrics/lukecombs/hurricane.html	4.67	5	4.33	4.667					4.67	0.47	4.67	5	4.33	0.47	0	0.94	4	4	5	3	5	5	5	5	5	5	5	5
Billboard	2018	train	Luke Combs	One Number Away	https://www.azlyrics.com/lyrics/lukecombs/onenumberaway.html	4.67	4	4.67	4.447					4.44	0.57	4.67	4	4.67	0.47	0.82	0.47	3.67	4	3	4	5	5	5	5	4.67	5	4	5
Billboard	2011	train	Lupe Fiasco	The Show Goes On	https://www.azlyrics.com/lyrics/lupefiasco/theshowgoeson.html	5	4.33	4	4.443					4.44	0.57	5	4.33	4	0	0.94	0.82	4.67	5	5	4	3.67	5	3	3	5	5	5	5
Grammy_NOM	2004	dev	Luther Vandross	Dance with My Father	https://www.azlyrics.com/lyrics/luthervandross/dancewithmyfather.html	4.67	5	2.67	4.113					4.11	0.63	4.67	5	2.67	0.47	0	1.7	3.67	4	5	2	3.67	5	5	1	5	5	5	5
Grammy_ALT	2004	train	Luther Vandross	They Said You Needed Me	https://www.azlyrics.com/lyrics/luthervandross/theysaidyouneededme.html	3	3	1	2.333		3	3	1	3.22	1.26	4	3.33	2.33	1.41	1.7	1.89	2.33	2	4	1	2.33	5	1	1	5	5	5	5
Grammy_NOM	1972	train	Lynn Anderson	Rose Garden	https://www.azlyrics.com/lyrics/lynnanderson/rosegarden.html	4	1.33	2.67	2.667					2.67	0.47	4	1.33	2.67	0	0.47	0.94	2.33	4	1	2	2.33	4	1	2	3.33	4	2	4
Grammy_ALT	1972	dev	Lynn Anderson	Snowbird	https://www.azlyrics.com/lyrics/lynnanderson/snowbird.html	1.52	3.12	2.44	2.360					4.44	0.57	4.67	4.33	4.33	0	0.71	0	3.67	4	4	3	5	5	5	5	4.67	5	4	5
Grammy_NOM	2014	test	Macklemore &amp; Ryan Lewis	Same Love	https://www.azlyrics.com/lyrics/macklemore/samelove.html	4.67	4.67	4.67	4.670	0				4.67	0.47	4.67	4.67	4.67	0.47	0.47	0.47	5	5	5	5	4	4	4	4	5	5	5	5
Grammy_ALT	2014	dev	Macklemore &amp; Ryan Lewis	Jimmy Iovine	https://www.azlyrics.com/lyrics/macklemore/jimmyiovine.html	5	5	5	5.000	0				5	0	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	5	5
Grammy_NOM	2001	train	Macy Gray	I Try	https://www.azlyrics.com/lyrics/macygray/itry.html	4	2	2	2.667		4	2	2	2.67	1.44	3.67	2	2.33	1.25	1.41	1.89	1.33	2	1	1	2	4	1	1	4.67	5	4	5
Grammy_ALT	2001	dev	Macy Gray	Why Didn't You Call Me	https://www.azlyrics.com/lyrics/macygray/whydidntyoucallme.html	4	4	3	3.667		4	4	3	3.67	1.44	4	3.67	3.33	1.41	1.25	1.7	1.67	2	2	1	4.33	5	4	4	5	5	5	5
Billboard	1989	test	Madonna	Express Yourself	https://www.azlyrics.com/lyrics/madonna/expressyourself.html	2	1.67	2.67	2.113					2.11	0.42	2	1.67	2.67	0	0.47	0.94	1.67	2	1	2	2	2	2	2	2.67	2	2	4
Billboard	1984	test	Madonna	Lucky Star	https://www.azlyrics.com/lyrics/madonna/luckystar.html	2	1.33	1.67	1.667					1.67	0.72	2	1.33	1.67	0.82	0.47	0.94	1.33	2	1	1	1	1	1	1	2.67	3	2	3
Billboard	2000	train	Madonna	Music	https://www.azlyrics.com/lyrics/madonna/music.html	2.33	1	2.33	1.887					1.89	0.42	2.33	1	2.33	0.47	0	1.25	1.33	2	1	1	2	3	1	2	2.33	2	1	4
Grammy_ALT	1992	train	Marc Cohn	Night Train	https://www.azlyrics.com/lyrics/marccohn/ghosttrain.html	3.33	3.67	3.33	3.443					3.44	0.57	3.33	3.67	3.33	1.25	0.47	0.94	2.67	2	4	2	4	5	3	4	3.67	3	4	4
Grammy_NOM	1992	train	Marc Cohn	Walking in Memphis	https://www.azlyrics.com/lyrics/marccohn/walkinginmemphis.html	4	4.67	5	4.557					4.56	0.42	4	4.67	5	0.82	0.47	0	5	5	5	5	4	3	4	5	4.67	4	5	5
Grammy_ALT	1991	test	Mariah Carey	Sent from Up Above	https://www.azlyrics.com/lyrics/mariahcarey/sentfromupabove.html	3	1	1	1.667					1.67	0.27	3	1	1	0.82	0	0	1.67	3	1	1	2	4	1	1	1.33	2	1	1
Grammy_NOM	1991	train	Mariah Carey	Vision of Love	https://www.azlyrics.com/lyrics/mariahcarey/visionoflove.html	3.67	3	2	2.890					2.89	0.79	3.67	3	2	1.25	1.41	1.41	2.33	2	4	1	2.33	5	1	1	4	4	4	4
Grammy_NOM	2006	train	Mariah Carey	We Belong Together	https://www.azlyrics.com/lyrics/mariahcarey/webelongtogether.html	3.67	3.33	3.33	3.443					3.44	0.96	3.67	3.33	3.33	1.25	1.7	1.7	3.33	2	4	4	2.33	5	1	1	4.67	4	5	5
Grammy_ALT	2006	test	Mariah Carey	Circles	https://www.azlyrics.com/lyrics/mariahcarey/circles.html	5	4.67	3.67	4.447					4.44	0.57	5	4.67	3.67	0	0.47	1.25	4.67	5	5	4	3.67	5	4	2	5	5	5	5
Billboard	2005	train	Mariah Carey featuring Jermaine Dupri and Fatman Scoop	It's Like That	https://www.azlyrics.com/lyrics/mariahcarey/itslikethat.html	4	3.67	3.67	3.780					3.78	0.57	4	3.67	3.67	0.82	0.47	1.25	3	3	4	2	4.33	5	4	4	4	4	3	5
Billboard	2000	train	Mariah Carey featuring Joe and 98 Degrees	Thank God I Found You	https://www.azlyrics.com/lyrics/mariahcarey/thanksgodifoundyou.html	3.33	3	1.33	2.553					2.56	0.63	3.33	3	1.33	0.94	0.82	0.47	1.67	2	2	1	3	4	4	1	3	4	3	2
Billboard	2021	test	Maroon 5 featuring Megan Thee Stallion	Beautiful Mistakes	https://www.azlyrics.com/lyrics/maroon5/beautifulmistakes.html	5	3	2	3.333		5	3	2	3.56	1.1	4.67	3	3	0.47	1.41	1.63	3.33	5	2	3	2.33	4	2	1	5	5	5	5
Billboard	1964	test	Martha and the Vandellas	Dancing in the Street	https://www.azlyrics.com/lyrics/marthaandthevandellas/dancinginthestreet.html	1.333	1.667	4.667	2.556					2.556	0.314	1.333	1.667	4.667	0.471	0.943	0.471	2.33	2	1	4	3	1	3	5	2.33	1	1	5
Billboard	1967	test	Martha and the Vandellas	Jimmy Mack	https://www.azlyrics.com/lyrics/marthaandthevandellas/jimmymack.html	3.333	3	1.333	2.555					2.556	0.685	3.333	3	1.333	0.943	0.816	0.471	3.33	4	4	2	2.67	4	3	1	1.67	2	2	1
Billboard	1965	test	Marvin Gaye	How Sweet It Is (To Be Loved by You)	https://www.azlyrics.com/lyrics/marvingaye/howsweetitistobelovedbyyou.html	3.333	1.667	1	2.000					2	0.272	3.333	1.667	1	0.471	0.471	0	2	3	2	1	2.33	4	2	1	1.67	3	1	1
Billboard	1969	dev	Marvin Gaye	I Heard It Through the Grapevine	https://www.azlyrics.com/lyrics/marvingaye/ihearditthroughthegrapevine.html	3.333	4.333	2	3.222					3.222	0.685	3.333	4.333	2	0.943	0.471	0.816	4	4	5	3	3.33	4	4	2	2.33	2	4	1
Grammy_ALT	2007	dev	Mary J. Blige	Ain't Really Love	https://www.azlyrics.com/lyrics/maryjblige/aintreallylove.html	4.67	4	2.33	3.667					3.67	0.98	4.67	4	2.33	0.47	1.41	1.89	3.33	4	5	1	2.67	5	2	1	5	5	5	5
Grammy_NOM	2007	train	Mary J. Blige	Be Without You	https://www.azlyrics.com/lyrics/maryjblige/bewithoutyou.html	4	4	2.33	3.443					3.44	0.87	4	4	2.33	1.41	0.82	1.25	2.67	2	4	2	3	5	3	1	4.67	5	5	4
Billboard	1964	test	Mary Wells	My Guy	https://www.azlyrics.com/lyrics/marywells/myguy.html	4	2	1	2.333		4	2	1	2.444	1.1	3.333	2	2	1.247	1.414	0.816	4	5	4	3	1.67	3	1	1	1.67	2	1	2
Billboard	1962	train	Mary Wells	The One Who Really Loves You	https://www.azlyrics.com/lyrics/marywells/theonewhoreallylovesyou.html	2.667	1.333	2	2.000					2	0.72	2.667	1.333	2	0.471	0.471	1.414	3	3	2	4	1.67	3	1	1	1.33	2	1	1
Billboard	1962	train	Mary Wells	You Beat Me to the Punch	https://www.azlyrics.com/lyrics/marywells/youbeatmetothepunch.html	3.667	4.667	1.667	3.334					3.333	0.471	3.667	4.667	1.667	0.471	0.471	0.471	3.67	4	5	2	2.67	3	4	1	3.67	4	5	2
Billboard	2021	test	Masked Wolf	Astronaut in the Ocean	https://www.azlyrics.com/lyrics/maskedwolf/astronautintheocean.html	5	4	3	4.000		5	4	3	3.22	1.1	4.33	3	2.33	0.94	0.82	1.89	3	5	3	1	2	3	2	1	4.67	5	4	5
Billboard	2001	dev	Matchbox Twenty	If You're Gone	https://www.azlyrics.com/lyrics/matchbox20/ifyouregone.html	3.67	3	2	2.890					2.89	0.87	3.67	3	2	0.47	1.63	1.41	1.67	3	1	1	3.33	4	5	1	3.67	4	3	4
Billboard	1961	dev	Matt Monro	My Kind of Girl	https://www.azlyrics.com/lyrics/mattmonro/mykindofgirl.html	3	1	1	1.667					1.667	0.272	3	1	1	0.816	0	0	1.33	2	1	1	1.67	3	1	1	2	4	1	1
Grammy_ALT	2010	train	Maxwell	Fistful of Tears	https://www.azlyrics.com/lyrics/maxwell/fistfuloftears.html	3	1.67	1.33	2.000					2	0.27	3	1.67	1.33	0.82	0.47	0.47	1.67	2	2	1	2	4	1	1	2.33	3	2	2
Grammy_NOM	2010	train	Maxwell	Pretty Wings	https://www.azlyrics.com/lyrics/maxwell/prettywings.html	3.67	4	1.67	3.113					3.11	0.57	3.67	4	1.67	1.25	0	0.94	2.33	2	4	1	3.33	5	4	1	3.67	4	4	3
Grammy_NOM	1994	dev	Meat Loaf	I'd Do Anything for Love (But I Won't Do That)	https://www.azlyrics.com/lyrics/meatloaf/iddoanythingforlovebutiwontdothat.html	3.33	1.67	2.33	2.443					2.44	0.83	3.33	1.67	2.33	0.94	0.94	1.89	3.33	4	1	5	2.67	4	3	1	1.33	2	1	1
Billboard	1978	dev	Meat Loaf	Two Out of Three Ain't Bad	https://www.azlyrics.com/lyrics/meatloaf/twooutofthreeaintbad.html	3.67	4.33	3.33	3.777					3.78	0.87	3.67	4.33	3.33	0.94	0.47	1.25	3	3	4	2	3.33	3	4	3	5	5	5	5
Grammy_ALT	1994	test	Meat Loaf	Wasted Youth	https://www.azlyrics.com/lyrics/meatloaf/wastedyouth.html	5	4.67	4	4.557					4.56	0.63	5	4.67	4	0	0.47	1.41	5	5	5	5	3.67	5	4	2	5	5	5	5
Billboard	2019	train	Megan Thee Stallion featuring DaBaby	Cash Shit	https://www.azlyrics.com/lyrics/megantheestallion/cashshit.html	4.33	3.33	2.67	3.443					3.44	0.96	4.33	3.33	2.67	0.47	0.94	1.7	3.33	4	4	2	2.33	4	2	1	4.67	5	4	5
Billboard	2019	train	Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Sign	Hot Girl Summer	https://www.azlyrics.com/lyrics/megantheestallion/hotgirlsummer.html	5	2	2	3.000		5	2	2	3.22	1.29	4.33	2.33	3	0.47	1.89	1.63	2.67	4	1	3	2	4	1	1	5	5	5	5
Grammy_ALT	2015	dev	Meghan Trainor	3:00 AM	https://www.azlyrics.com/lyrics/meghantrainor/3am.html	4	5	2	3.667		4	5	2	3.11	1.4	3.67	3.33	2.33	1.25	1.25	1.89	1.67	2	2	1	2.67	4	3	1	5	5	5	5
Grammy_NOM	2015	train	Meghan Trainor	All About That Bass	https://www.azlyrics.com/lyrics/meghantrainor/allaboutthatbass.html	4.33	1.67	3	3.000					3	0.54	4.33	1.67	3	0.47	0.94	1.41	3	4	1	4	2.33	5	1	1	3.67	4	3	4
Billboard	2016	test	Meghan Trainor	Me Too	https://www.azlyrics.com/lyrics/meghantrainor/metoo.html	3.67	2.33	3	3.000					3	0.94	3.67	2.33	3	0.47	1.25	1.63	2.33	3	1	3	2.33	4	2	1	4.33	4	4	5
Billboard	1997	train	Meredith Brooks	Bitch	https://www.azlyrics.com/lyrics/meredithbrooks/bitch.html	5	3.67	2.33	3.667					3.67	0.94	5	3.67	2.33	0	1.89	0.94	4.33	5	5	3	2.33	5	1	1	4.33	5	5	3
Billboard	2008	train	Metro Station	Shake It	https://www.azlyrics.com/lyrics/metrostation/shakeit.html	2.67	3	2	2.557					2.56	0.96	2.67	3	2	0.47	1.41	1.41	1.33	2	1	1	2.67	3	4	1	3.67	3	4	4
Billboard	1990	train	Michael Bolton	How Am I Supposed to Live Without You	https://www.azlyrics.com/lyrics/michaelbolton/howamisupposedtolivewithoutyou.html	4.67	5	3.33	4.333					4.33	0.27	4.67	5	3.33	0.47	0	0.47	4.33	5	5	3	4.67	5	5	4	4	4	5	3
Billboard	2009	train	Michael Franti & Spearhead featuring Cherine Anderson	Say Hey (I Love You)	https://www.azlyrics.com/lyrics/michaelfrantispearhead/sayheyiloveyou.html	4.67	4	5	4.557					4.56	0.31	4.67	4	5	0.47	0.82	0	4.33	5	3	5	5	5	5	5	4.33	4	4	5
Grammy_NOM	1984	test	Michael Jackson	Beat It	https://www.azlyrics.com/lyrics/michaeljackson/beatit.html	4	3	3	3.333		4	3	3	2.89	1.55	3.67	2.33	2.67	1.25	1.89	1.7	1.33	2	1	1	2.33	4	1	2	5	5	5	5
Grammy_NOM	1984	train	Michael Jackson	Billie Jean	https://www.azlyrics.com/lyrics/michaeljackson/billiejean.html	5	5	4	4.667					4.67	0.47	5	5	4	0	0	1.41	5	5	5	5	4	5	5	2	5	5	5	5
Billboard	1980	train	Michael Jackson	She's Out of My Life	https://www.azlyrics.com/lyrics/michaeljackson/shesoutofmylife.html	3.33	3.67	1.33	2.777					2.78	0.68	3.33	3.67	1.33	1.25	0.47	0.47	2.67	3	4	1	2	2	3	1	3.67	5	4	2
Billboard	1988	dev	Michael Jackson	The Way You Make Me Feel	https://www.azlyrics.com/lyrics/michaeljackson/thewayyoumakemefeel.html	3	2	2	2.333		3	2	2	2.56	1.26	3.67	2	2	0.94	1.41	1.41	1.67	3	1	1	1.67	3	1	1	4.33	5	4	4
Grammy_ALT	1984	train	Michael Jackson	Wanna Be Startin' Somethin'	https://www.azlyrics.com/lyrics/michaeljackson/wannabestartinsomethin.html	4	3	4	3.667		4	3	4	3.44	1.1	4.33	3	3	0.47	1.41	1.63	4.67	5	4	5	2	4	1	1	3.67	4	4	3
Billboard	1995	train	Michael Jackson	You Are Not Alone	https://www.azlyrics.com/lyrics/michaeljackson/youarenotalone.html	3	4	2	3.000		3	4	2	3.44	1.23	4	3.67	2.67	0.82	1.25	1.7	2	3	2	1	5	5	5	5	3.33	4	4	2
Grammy_ALT	1984	train	Michael Jackson	The Girl Is Mine	https://www.azlyrics.com/lyrics/michaeljackson/thegirlismine.html	3.67	2	2.33	2.667					2.67	0.72	3.67	2	2.33	0.94	1.41	1.25	2	3	1	2	2.33	5	1	1	3.67	3	4	4
Grammy_ALT	1984	train	Michael Sembello	Cowboy	https://www.azlyrics.com/lyrics/michaelsembello/cowboy.html	3.67	4.33	4.67	4.223					4.22	0.42	3.67	4.33	4.67	0.47	0.47	0.47	4.67	4	5	5	3.67	3	4	4	4.33	4	4	5
Grammy_NOM	1984	train	Michael Sembello	Maniac	https://www.azlyrics.com/lyrics/michaelsembello/maniac.html	2.67	1	2.33	2.000					2	0.47	2.67	1	2.33	0.94	0	0.47	1.67	2	1	2	2.67	4	1	3	1.67	2	1	2
Billboard	1980	dev	Mickey Gilley	Stand by Me	https://www.azlyrics.com/lyrics/mickeygilley/standbyme.html	2.67	2.33	2.67	2.557					2.56	0.87	2.67	2.33	2.67	0.94	1.25	1.25	1.33	2	1	1	3	4	2	3	3.33	2	4	4
Grammy_NOM	2013	train	Miguel	Adorn	https://www.azlyrics.com/lyrics/miguel/adorn.html	2.33	1.33	1.33	1.663					1.67	0.47	2.33	1.33	1.33	1.25	0.47	0.47	1	1	1	1	2	4	1	1	2	2	2	2
Grammy_ALT	2013	train	Miguel	Kaleidoscope Dream	https://www.azlyrics.com/lyrics/miguel/kaleidoscopedream.html	4	1	1	2.000		4	1	1	2.22	1.1	2.33	2	2.33	1.25	1.41	1.89	3.67	2	4	5	2	4	1	1	1	1	1	1
Billboard	1986	train	Mike + The Mechanics	All I Need Is a Miracle	https://www.azlyrics.com/lyrics/mikethemechanics/allineedisamiracle.html	3	2.33	1.33	2.220					2.22	0.42	3	2.33	1.33	0.82	0.47	0.47	2.33	3	3	1	1.67	2	2	1	2.67	4	2	2
Grammy_NOM	1990	test	Mike + The Mechanics	The Living Years	https://www.azlyrics.com/lyrics/mikethemechanics/thelivingyears.html	3.33	4	2.67	3.333					3.33	0.54	3.33	4	2.67	0.94	0	0.94	3.33	4	4	2	2.67	2	4	2	4	4	4	4
Grammy_ALT	1990	train	Mike + The Mechanics	Why Me?	https://www.azlyrics.com/lyrics/mikethemechanics/whyme.html	2.33	2.67	2.67	2.557					2.56	0.16	2.33	2.67	2.67	0.47	1.25	0.47	2.67	2	4	2	2.33	3	1	3	2.67	2	3	3
Grammy_NOM	2017	test	Mike Posner	I Took a Pill in Ibiza	https://www.azlyrics.com/lyrics/mikeposner/itookapillinibiza.html	5	5	5	5.000	0	5	5	5	4.22	1.1	5	4	3.67	0	1.41	1.89	5	5	5	5	2.67	5	2	1	5	5	5	5
Grammy_ALT	2017	train	Mike Posner	Silence	https://www.azlyrics.com/lyrics/mikeposner/silence.html	3.67	3.33	1.67	2.890					2.89	0.57	3.67	3.33	1.67	1.25	0.94	0.94	2.33	2	4	1	2.67	5	2	1	3.67	4	4	3
Billboard	2008	dev	Miley Cyrus	See You Again	https://www.azlyrics.com/lyrics/mileycyrus/seeyouagain.html	5	4.67	2.33	4.000					4	0.27	5	4.67	2.33	0	0.47	0.47	3.67	5	4	2	4	5	5	2	4.33	5	5	3
Billboard	2014	train	Miley Cyrus	Wrecking Ball	https://www.azlyrics.com/lyrics/mileycyrus/wreckingball.html	4.67	4	1.67	3.447					3.44	0.31	4.67	4	1.67	0.47	0.82	0.94	3	4	4	1	3.67	5	3	3	3.67	5	5	1
Billboard	1989	train	Milli Vanilli	Baby Don't Forget My Number	https://www.azlyrics.com/lyrics/millivanilli/babydontforgetmynumber.html	2	1.33	1.33	1.553					1.56	0.31	2	1.33	1.33	0	0.47	0.47	1.33	2	1	1	1.33	2	1	1	2	2	2	2
Grammy_ALT	2011	train	Miranda Lambert	That's the Way That the World Goes 'Round	https://www.azlyrics.com/lyrics/mirandalambert/thatsthewaytheworldgoesround.html	4.67	4.33	3.33	4.110					4.11	0.68	4.67	4.33	3.33	0.47	0.47	1.7	4	4	4	4	3.33	5	4	1	5	5	5	5
Grammy_NOM	2011	train	Miranda Lambert	The House That Built Me	https://www.azlyrics.com/lyrics/mirandalambert/thehousethatbuiltme.html	4.33	4.33	4.67	4.443					4.44	0.42	4.33	4.33	4.67	0.47	0.47	0.47	4.33	4	4	5	4	4	4	4	5	5	5	5
Billboard	2002	train	Missy Elliott	Work It	https://www.azlyrics.com/lyrics/missymisdemeanorelliott/workit.html	4.67	3	4.33	4.000					4	0.27	4.67	3	4.33	0.47	0	0.47	4	5	3	4	3.67	4	3	4	4.33	5	3	5
